English;link;link2
Attack on Titan;https://images8.alphacoders.com/710/thumb-1920-710623.png;https://images2.alphacoders.com/612/thumb-1920-612508.jpg
Attack on Titan Season 2;https://picfiles.alphacoders.com/433/thumb-1920-433780.jpg;https://images.alphacoders.com/120/thumb-1920-1204307.jpg
Attack on Titan Season 3;https://images7.alphacoders.com/134/thumb-1920-1343296.jpeg;https://images5.alphacoders.com/121/thumb-1920-1213339.jpg
Death Note;https://images.alphacoders.com/153/thumb-1920-153273.jpg;https://images4.alphacoders.com/740/thumb-1920-740711.jpg
Demon Slayer: Kimetsu no Yaiba;https://images8.alphacoders.com/118/thumb-1920-1180819.jpg;https://images7.alphacoders.com/138/thumb-1920-1385534.png
Dragon Ball;https://images2.alphacoders.com/772/thumb-1920-772373.png;https://images3.alphacoders.com/883/thumb-1920-883001.png
Hunter x Hunter;https://images7.alphacoders.com/132/thumb-1920-1321266.png;https://avatarfiles.alphacoders.com/360/thumb-1920-360207.png
Jujutsu Kaisen;https://images.alphacoders.com/133/thumb-1920-1332280.jpeg;https://mfiles.alphacoders.com/100/thumb-1920-1008715.png
Jujutsu Kaisen Season 2;https://images4.alphacoders.com/138/thumb-1920-1389939.jpg;https://mfiles.alphacoders.com/101/thumb-1920-1013143.png
Naruto;https://images3.alphacoders.com/270/thumb-1920-270187.jpg;https://images.alphacoders.com/879/thumb-1920-87971.jpg
Naruto Shippuden;https://images5.alphacoders.com/532/thumb-1920-532559.jpg;https://images6.alphacoders.com/137/thumb-1920-1371177.png
One Piece;https://images.alphacoders.com/135/thumb-1920-1352220.png;https://images4.alphacoders.com/132/thumb-1920-1326247.png
Solo Leveling;https://images5.alphacoders.com/137/thumb-1920-1372162.jpeg;https://avatarfiles.alphacoders.com/332/thumb-1920-332190.png
